,Unnamed: 0.1,Unnamed: 0,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Image URL
41,41,41,C028,C,SCHA-Radmore Village,3593 N Highland Ave,Radisson,Housing,33.32,10000.0,81183.0,Carlson Electric,1/2/19 0:00,45.76653611,-91.218244,
42,42,42,C029,C,SCHA-Vista Village,15782 Illinois Ave,Hayward,Housing,46.24,10000.0,110051.2,Carlson Electric,1/2/19 0:00,46.02010556,-91.482333,
43,43,43,C030,C,SCHA-Winmore,6530 West McClaine Ave,Winter,Housing,29.24,10000.0,69591.2,Carlson Electric,1/2/19 0:00,45.81587778,-91.008631,
44,44,44,C040,C,Sisters of St. Francis,3110 Nicolet Drive,Green Bay,Faith,98.0,20000.0,228900.0,Eland Electric,8/28/19 0:00,44.55574444,-87.907358,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C040-SistersStFrancis-GB.jpg
45,45,45,C048,C,Solon Springs School District,8993 E. Baldwin Ave,Solon Springs,School,99.9,20000.0,249000.0,Carlson Electric,10/15/20 0:00,46.34620278,-91.831047,
46,46,46,C042,C,St. Dennis Congregation,505 Dempsey Rd ,Madison,Faith,23.8,10000.0,52273.0,Sunvest,9/6/19 0:00,43.0901601,-89.316276,
47,47,47,C050,C,St. John's Lutheran Church,625 E. Netherwood Street,Oregon,Faith,29.6,10000.0,64995.0,Full Spectrum Solar,11/28/20 0:00,42.93648889,-89.372625,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C050-StJohns-Oregon.jpg
48,48,48,C049,C,Washburn Elementary School, 305 West 4th Street,Washburn,School,120.0,20000.0,236693.0,Eagle Point Solar,10/15/20 0:00,46.67389167,-90.897506,
49,49,49,C035,C,Wisconsin Conference UCC,4459 Gray Road,Deforest,Faith,19.95,10000.0,50968.0,Arch Electric,5/2/19 0:00,43.22271111,-89.341186,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C035-WI-Conference.jpg
50,50,50,P051,C,Milwaukee Habitat for Humanity,3726 N Booth Street,Milwaukee,Housing,53.25,11981.25,141612.0,Energize LLC,12/4/19 0:00,43.08460833,-87.902767,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/P051-Milw-HfH-Restore.jpg
51,51,51,P052,C,Aspirus - Family Housing Project ,2801 Westhill Drive,Wausau ,Housing,19.53,8786.25,42000.0,North Wind Renewable Energy,11/7/19 0:00,44.96753333,-89.671408,
52,52,52,P053,C,Victory Garden Initiative,249 E Concordia Ave,Milwaukee,Poverty Alleviation,8.8,3996.0,12405.0,Convergence Energy,1/1/20 0:00,43.07832778,-87.907908,
53,53,53,C054,C,St. Thomas Aquinas,"602 Everglade Dr, Madison, WI 53717",Madison,Faith,24.12,10000.0,50148.0,SunVest,3/4/20 0:00,87.90790833,-89.499817,
54,54,54,P055,C,YMCA of the Fox Cities - Camp Nan A Bo Sho,18369 Okonto Ln.,Lakewood,Youth Services,12.425,5827.5,27367.0,Appleton Solar,5/6/20 0:00,45.34339444,-88.440128,
55,55,55,P056,C,"Nourish Farms, Inc.","100 Alfred Miley Ave, Sheboygan Falls, WI 53085",Sheboygan Falls,Food,9.94,4144.0,34000.0,Arch Electric,4/30/20 0:00,43.73503889,-87.804536,
56,56,56,P057,C,Sawyer County Non Profit Housing Development (SCNPHD),10685 & 10695 Reinke Street,Hayward,Housing,67.45,24975.0,181000.0,Carlson Electric,5/13/20 0:00,46.01921944,-91.481956,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/P057-059-SCNHA-1.jpg
57,57,57,P058,C,Sawyer County Non Profit Housing Development (SCNPHD),3660 & 3664 N Highland,Radisson,Housing,17.04,7992.0,45800.0,Carlson Electric,5/13/20 0:00,45.76745556,-91.217956,
58,58,58,P059,C,Sawyer County Non Profit Housing Development (SCNPHD),5105 and 5109 N Crawford,Winter,Housing,31.95,14985.0,85946.0,Carlson Electric,5/13/20 0:00,45.81963333,-91.008181,
59,59,59,P060,C,University of Wisconsin-Madison Arboretum,1207 Seminole Highway,Madison,Conservation,25.16,11322.0,90414.0,SunPeak,10/20/20 0:00,43.04137778,-89.430397,
60,60,60,P061,C,Madison Audubon Society,W7503 Kampen Rd,Arlington,Conservation,8.5,3996.0,26785.0,Midwest Solar,11/15/20 0:00,43.32130278,-89.373106,
61,61,61,P063,C,Menīkānaehkem Inc.,N8866 County Rd G,Gresham,Youth Services,11.84,5328.0,25450.0,Eland Electric,4/1/20 0:00,44.85158333,-88.787006,
62,62,62,P064,C,Zwingli United Church of Christ,1693 Washington Street,Verona,Faith,6.0,2830.5,15000.0,Eagle Point Solar,5/1/20 0:00,42.94724722,-89.656875,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/P064-MtVernon-Zwingli.jpg
63,63,63,P065,C,CAP Services,"2900 Hoover Road, Suite A",Stevens Point,Poverty Alleviation,13.32,5994.0,28300.0,North Wind,6/1/20 0:00,44.50796944,-89.529458,
64,64,64,P066,C,Humane Society of Jefferson County,w6127 Kiesling rd,Jefferson,Animal Shelter,62.1,12487.5,127600.0,WES Engineering,8/1/20 0:00,42.96984167,-88.837661,
65,65,65,P067,C,Jackson County Animal Shelter,416 County Road R,Black River Falls,Animal Shelter,19.98,8991.0,46000.0,Solar Connection,9/1/20 0:00,44.28812778,-90.863731,
66,66,66,P068,C,Boys & Girls Clubs of Greater La Crosse,1331 Clinton Street,La Crosse,Youth Services,75.48,24975.0,150000.0,Solar Connection,9/1/20 0:00,43.84156667,-91.238236,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/P068-BandG-RibbonCutting2022.jpg
67,67,67,P069,C,Habitat for Humanity La Crosse,3181 Berlin Drive,Onalaska,Poverty Alleviation,53.28,12487.5,112900.0,Solar Connection,9/1/20 0:00,43.88458889,-91.166,
68,68,68,P070,C,Camp Amnicon,8450 E Camp Amnicon Rd,South Range,Youth Services,19.24,8658.0,29750.0,Wholesale Solar,11/1/20 0:00,46.68469444,-91.867056,
